feature,importancia_shap,coeficiente,signo
OverTime_Yes,0.6894004337631725,0.784311266452169,Sube riesgo
JobRole_Sales Executive,0.6337460770690365,0.7919946351967023,Sube riesgo
JobLevel,0.6319234629067887,0.7756769438758814,Sube riesgo
JobRole_Laboratory Technician,0.6060696951306154,0.7982185288979834,Sube riesgo
BusinessTravel_Travel_Frequently,0.5552414495859336,0.6803591945712877,Sube riesgo
EducationField_Life Sciences,0.5316011708216911,-0.5375213661357277,Baja riesgo
MaritalStatus_Single,0.4872147949021041,0.5173014925185554,Sube riesgo
TotalWorkingYears,0.46833410125411457,-0.5764149972956336,Baja riesgo
YearsSinceLastPromotion,0.44142622603251164,0.5971658971855144,Sube riesgo
Department_Research & Development,0.4308378220701801,0.4559425072432708,Sube riesgo
NumCompaniesWorked,0.4169568170205403,0.5030459421105007,Sube riesgo
BusinessTravel_Travel_Rarely,0.4144727184411705,0.4544692443894436,Sube riesgo
EducationField_Medical,0.40980072398714407,-0.4375526600269154,Baja riesgo
JobRole_Sales Representative,0.3704403187058583,0.713505259444993,Sube riesgo
JobSatisfaction,0.35483967621887874,-0.4119576750395819,Baja riesgo
EnvironmentSatisfaction,0.34933597643822806,-0.3874029851493039,Baja riesgo
MonthlyIncome,0.33500041551294485,-0.404428792114625,Baja riesgo
RelationshipSatisfaction,0.3059684632741561,-0.3668366881977237,Baja riesgo
YearsWithCurrManager,0.3057866168753682,-0.3538923508430294,Baja riesgo
YearsInCurrentRole,0.29033412279965765,-0.3369641229923943,Baja riesgo
DistanceFromHome,0.23759593985952343,0.3010067243398088,Sube riesgo
JobRole_Research Scientist,0.23628892491095144,0.2839782859142695,Sube riesgo
Age,0.22169336778231033,-0.278997051771465,Baja riesgo
JobInvolvement,0.21568757235085076,-0.2646842443333484,Baja riesgo
EducationField_Other,0.19786024569307736,-0.3653767249097532,Baja riesgo
MaritalStatus_Married,0.19459062403418873,0.1956575915276565,Sube riesgo
TrainingTimesLastYear,0.1883699200843695,-0.216428360028149,Baja riesgo
Gender_Male,0.18555698623278039,0.1905952318456563,Sube riesgo
Department_Sales,0.17908868564535518,0.1967013163906694,Sube riesgo
StockOptionLevel,0.1726352473239267,-0.2102017014808299,Baja riesgo
JobRole_Human Resources,0.16496039591768,0.4548391818017375,Sube riesgo
PercentSalaryHike,0.15868637531191257,-0.1875114216653413,Baja riesgo
DailyRate,0.1547910422318223,-0.1675466660313612,Baja riesgo
WorkLifeBalance,0.1501555579266569,-0.2010941263806802,Baja riesgo
EducationField_Marketing,0.14664224518028743,-0.246358141384559,Baja riesgo
JobRole_Research Director,0.11808171319848025,-0.2501820256947601,Baja riesgo
HourlyRate,0.09426992412471333,-0.1089089789558464,Baja riesgo
EducationField_Technical Degree,0.09110475276673305,-0.1848422050684545,Baja riesgo
YearsAtCompany,0.08019215226044181,0.1030739471676557,Sube riesgo
PerformanceRating,0.07601578496338839,0.1058808740043495,Sube riesgo
JobRole_Manufacturing Director,0.07558629310125278,0.1260991437582238,Sube riesgo
JobRole_Manager,0.061131725532144056,0.1250699595422157,Sube riesgo
MonthlyRate,0.03920198618748915,0.0477747711846211,Sube riesgo
Education,0.022590056881322318,0.0297104526777481,Sube riesgo
