Variable,Correlacion,P_value,Significativa
TotalWorkingYears,-0.171,0.0,Si
JobLevel,-0.169,0.0,Si
YearsInCurrentRole,-0.161,0.0,Si
MonthlyIncome,-0.16,0.0,Si
Age,-0.159,0.0,Si
YearsWithCurrManager,-0.156,0.0,Si
StockOptionLevel,-0.137,0.0,Si
YearsAtCompany,-0.134,0.0,Si
JobInvolvement,-0.13,1e-06,Si
EnvironmentSatisfaction,-0.103,7.2e-05,Si
JobSatisfaction,-0.103,7e-05,Si
DistanceFromHome,0.078,0.002793,Si
WorkLifeBalance,-0.064,0.014211,Si
TrainingTimesLastYear,-0.059,0.022578,Si
DailyRate,-0.057,0.029858,Si
RelationshipSatisfaction,-0.046,0.078714,No
NumCompaniesWorked,0.043,0.095525,No
YearsSinceLastPromotion,-0.033,0.20579,No
Education,-0.031,0.229315,No
MonthlyRate,0.015,0.561124,No
PercentSalaryHike,-0.013,0.605613,No
HourlyRate,-0.007,0.793135,No
PerformanceRating,0.003,0.911884,No
